===============================================
MyPinTool analysis results: 
Number of instructions: 7478946
Number of basic blocks: 1927913
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
                strtoll       libc.so.6       7f6671a54470            1            5
      __drand48_iterate       libc.so.6       7f6671a543f0            8          165
              erand48_r       libc.so.6       7f6671a541d0            8          264
                erand48       libc.so.6       7f6671a540c0            8           56
       __call_tls_dtors       libc.so.6       7f6671a535d0            1           12
         __cxa_finalize       libc.so.6       7f6671a53350            5          381
           __cxa_atexit       libc.so.6       7f6671a532c0           10          220
           __new_exitfn       libc.so.6       7f6671a53100           10          440
                   exit       libc.so.6       7f6671a53090            1            4
    __run_exit_handlers       libc.so.6       7f6671a52f80            1          210
                 getenv       libc.so.6       7f6671a52620           12         6960
                _setjmp       libc.so.6       7f6671a50310            8           16
          __sigjmp_save       libc.so.6       7f6671a502d0            8           72
            __sigsetjmp       libc.so.6       7f6671a50270            8          144
                  isnan       libc.so.6       7f6671a4f890            3           21
                __isinf       libc.so.6       7f6671a4f850            3           39
           __ctype_init       libc.so.6       7f6671a49910            8          136
            __uselocale       libc.so.6       7f6671a48f50            2           44
            __newlocale       libc.so.6       7f6671a48670            1           40
    __gconv_btwoc_ascii       libc.so.6       7f6671a3ff40          128          640
     __get_cpu_features       libc.so.6       7f6671a3d0d0            1            5
      __libc_start_main       libc.so.6       7f6671a3caf0            1           60
                  _init       libc.so.6       7f6671a3c940            1          101
         init_cacheinfo       libc.so.6       7f6671a3c6d0            1          144
                   .plt       libc.so.6       7f6671a3a480            0            4
                  _fini libpthread.so.0       7f6671dda8d4            1            3
           elision_init libpthread.so.0       7f6671dda2c0            1           14
     __get_cpu_features libpthread.so.0       7f6671dda2a0            1            6
    __init_cpu_features libpthread.so.0       7f6671dda050            1           70
 pthread_getaffinity_np libpthread.so.0       7f6671dd8cc0            1           20
       __libc_sigaction libpthread.so.0       7f6671dd8a00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7f6671dd7480           17          136
_pthread_cleanup_push_defer libpthread.so.0       7f6671dd7420           17          238
           pthread_once libpthread.so.0       7f6671dd6420           32          176
    pthread_setspecific libpthread.so.0       7f6671dd5f70            2           68
     pthread_key_delete libpthread.so.0       7f6671dd5eb0            1           14
   __pthread_key_create libpthread.so.0       7f6671dd5e50            1           19
 __pthread_mutex_unlock libpthread.so.0       7f6671dd4610            2            4
__pthread_mutex_unlock_usercnt libpthread.so.0       7f6671dd4530            2           64
   __pthread_mutex_lock libpthread.so.0       7f6671dd3290            2           68
pthread_attr_setdetachstate libpthread.so.0       7f6671dd2ba0            1            5
      pthread_attr_init libpthread.so.0       7f6671dd2ad0            1           31
           pthread_self libpthread.so.0       7f6671dd2790            1            2
         pthread_create libpthread.so.0       7f6671dd1310            7         1526
           start_thread libpthread.so.0       7f6671dd1010            7          266
   do_clone.constprop.3 libpthread.so.0       7f6671dd0280            7          224
__pthread_initialize_minimal libpthread.so.0       7f6671dcfb30            1          161
            frame_dummy libpthread.so.0       7f6671dcf990            1            3
  __do_global_dtors_aux libpthread.so.0       7f6671dcf950            1           12
     register_tm_clones libpthread.so.0       7f6671dcf910            1           13
   deregister_tm_clones libpthread.so.0       7f6671dcf8e0            1            9
