===============================================
MyPinTool analysis results: 
Number of instructions: 6621338
Number of basic blocks: 1700210
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7fa3c43813d0            8          392
          _dl_vdso_vsym       libc.so.6       7fa3c4376ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7fa3c4376e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7fa3c43766a0          128          512
               _dl_addr       libc.so.6       7fa3c4376340            1        56045
    __libc_pthread_init       libc.so.6       7fa3c434cce0            1          393
    __unregister_atfork       libc.so.6       7fa3c434cb40            5           95
        __linkin_atfork       libc.so.6       7fa3c434cad0            1            8
      __register_atfork       libc.so.6       7fa3c434c980            1           49
__libc_disable_asynccancel       libc.so.6       7fa3c434c900           17          204
__libc_enable_asynccancel       libc.so.6       7fa3c434c8a0           17          187
               wctype_l       libc.so.6       7fa3c4343d30            9          876
                  clone       libc.so.6       7fa3c433fdd0            7          189
            __init_misc       libc.so.6       7fa3c433fca0            1           24
               mprotect       libc.so.6       7fa3c433be30            7           35
                 munmap       libc.so.6       7fa3c433be00            1            5
                   mmap       libc.so.6       7fa3c433bdd0            9           54
            getpagesize       libc.so.6       7fa3c4338c40            8           40
                 __sbrk       libc.so.6       7fa3c4338660            2           46
                    brk       libc.so.6       7fa3c43385e0            2           26
              getrlimit       libc.so.6       7fa3c4338180            1            5
       __close_nocancel       libc.so.6       7fa3c4333509            1            5
       __write_nocancel       libc.so.6       7fa3c4332f09            0          195
                __write       libc.so.6       7fa3c4332f00           15          225
        __read_nocancel       libc.so.6       7fa3c4332ea9            0           13
                 __read       libc.so.6       7fa3c4332ea0            1           15
        __open_nocancel       libc.so.6       7fa3c4332c99            0           13
                 __open       libc.so.6       7fa3c4332c90            1           15
               __fxstat       libc.so.6       7fa3c43327e0            2           20
      popcount_cpucount       libc.so.6       7fa3c43325e0            1          391
                  _exit       libc.so.6       7fa3c4310e60            1           10
                  wctob       libc.so.6       7fa3c42f5080          128         2432
                  btowc       libc.so.6       7fa3c42f4ef0          256         8192
           handle_intel       libc.so.6       7fa3c42f2ea0            2           98
       intel_check_word       libc.so.6       7fa3c42f2be0            4          850
          __strstr_sse2       libc.so.6       7fa3c42f1bd0            1           25
              strchrnul       libc.so.6       7fa3c42e4960           41         1015
          __memcpy_sse2       libc.so.6       7fa3c42e3420           12          241
         __mempcpy_sse2       libc.so.6       7fa3c42de3b0           66         1281
                 memset       libc.so.6       7fa3c42de260           15          587
            __GI_memcmp       libc.so.6       7fa3c42ddc30           41          857
           __GI_strrchr       libc.so.6       7fa3c42dd150            1          106
                 strlen       libc.so.6       7fa3c42db400           73         1316
