===============================================
MyPinTool analysis results: 
Number of instructions: 8533891
Number of basic blocks: 2273446
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
         __strcmp_ssse3       libc.so.6       7f6ae97273d0            8          392
          _dl_vdso_vsym       libc.so.6       7f6ae971cea0            3           81
    __libc_dl_error_tsd       libc.so.6       7f6ae971ce80            1            3
_dl_mcount_wrapper_check       libc.so.6       7f6ae971c6a0          128          512
               _dl_addr       libc.so.6       7f6ae971c340            1        56045
    __libc_pthread_init       libc.so.6       7f6ae96f2ce0            1          393
    __unregister_atfork       libc.so.6       7f6ae96f2b40            5           95
        __linkin_atfork       libc.so.6       7f6ae96f2ad0            1            8
      __register_atfork       libc.so.6       7f6ae96f2980            1           49
__libc_disable_asynccancel       libc.so.6       7f6ae96f2900            3           36
__libc_enable_asynccancel       libc.so.6       7f6ae96f28a0            3           33
               wctype_l       libc.so.6       7f6ae96e9d30            9          876
                  clone       libc.so.6       7f6ae96e5dd0            7          189
            __init_misc       libc.so.6       7f6ae96e5ca0            1           24
               mprotect       libc.so.6       7f6ae96e1e30            7           35
                 munmap       libc.so.6       7f6ae96e1e00            1            5
                   mmap       libc.so.6       7f6ae96e1dd0            9           54
            getpagesize       libc.so.6       7f6ae96dec40            8           40
                 __sbrk       libc.so.6       7f6ae96de660            2           46
                    brk       libc.so.6       7f6ae96de5e0            2           26
              getrlimit       libc.so.6       7f6ae96de180            1            5
       __close_nocancel       libc.so.6       7f6ae96d9509            1            5
       __write_nocancel       libc.so.6       7f6ae96d8f09            0           13
                __write       libc.so.6       7f6ae96d8f00            1           15
        __read_nocancel       libc.so.6       7f6ae96d8ea9            0           13
                 __read       libc.so.6       7f6ae96d8ea0            1           15
        __open_nocancel       libc.so.6       7f6ae96d8c99            0           13
                 __open       libc.so.6       7f6ae96d8c90            1           15
               __fxstat       libc.so.6       7f6ae96d87e0            2           20
      popcount_cpucount       libc.so.6       7f6ae96d85e0            1          391
                  _exit       libc.so.6       7f6ae96b6e60            1           10
                  wctob       libc.so.6       7f6ae969b080          128         2432
                  btowc       libc.so.6       7f6ae969aef0          256         8192
           handle_intel       libc.so.6       7f6ae9698ea0            2           98
       intel_check_word       libc.so.6       7f6ae9698be0            4          850
          __strstr_sse2       libc.so.6       7f6ae9697bd0            1           25
              strchrnul       libc.so.6       7f6ae968a960           41         1015
          __memcpy_sse2       libc.so.6       7f6ae9689420           12          241
         __mempcpy_sse2       libc.so.6       7f6ae96843b0           66         1281
                 memset       libc.so.6       7f6ae9684260           15          587
            __GI_memcmp       libc.so.6       7f6ae9683c30           41          857
           __GI_strrchr       libc.so.6       7f6ae9683150            1          106
                 strlen       libc.so.6       7f6ae9681400           73         1316
     __default_morecore       libc.so.6       7f6ae967e0c0            2           16
       realloc_hook_ini       libc.so.6       7f6ae967c860            1            8
        malloc_hook_ini       libc.so.6       7f6ae967c820            1           11
   ptmalloc_init.part.8       libc.so.6       7f6ae967c3f0            1          622
          __libc_calloc       libc.so.6       7f6ae967be20            7          581
         __libc_realloc       libc.so.6       7f6ae967b9a0            2           48
                  cfree       libc.so.6       7f6ae967b910           63          753
                 malloc       libc.so.6       7f6ae967b4d0           44         1893
            _int_malloc       libc.so.6       7f6ae96790b0           50         6906
              _int_free       libc.so.6       7f6ae9678540           39         3342
     malloc_consolidate       libc.so.6       7f6ae9677ee0            5          495
      malloc_init_state       libc.so.6       7f6ae9676ff0            1          648
     _IO_unsave_markers       libc.so.6       7f6ae9676450            1            5
            _IO_cleanup       libc.so.6       7f6ae9675ee0            1          102
    _IO_flush_all_lockp       libc.so.6       7f6ae9675c60            1           88
     _IO_default_finish       libc.so.6       7f6ae9675b10            1           14
            _IO_no_init       libc.so.6       7f6ae9675a30            1           33
           _IO_old_init       libc.so.6       7f6ae9675980            1           25
     _IO_default_setbuf       libc.so.6       7f6ae9675860            1           29
              _IO_sgetn       libc.so.6       7f6ae96757a0            7           21
     _IO_default_xsputn       libc.so.6       7f6ae96756d0            1          105
         _IO_doallocbuf       libc.so.6       7f6ae9675640            2           26
               _IO_setb       libc.so.6       7f6ae96755c0            4           91
            __underflow       libc.so.6       7f6ae9675430            1           22
 _IO_switch_to_get_mode       libc.so.6       7f6ae9675350            1           20
            _IO_link_in       libc.so.6       7f6ae9674ee0            2          107
            _IO_un_link       libc.so.6       7f6ae9674c90            3          114
      _IO_file_overflow       libc.so.6       7f6ae96749b0            1           48
     _IO_file_underflow       libc.so.6       7f6ae9674750            1           40
           _IO_do_write       libc.so.6       7f6ae9674720            2           19
         _IO_file_fopen       libc.so.6       7f6ae96741f0            1           70
          _IO_file_open       libc.so.6       7f6ae9674140            1           32
        _IO_file_finish       libc.so.6       7f6ae96740c0            1            8
      _IO_file_close_it       libc.so.6       7f6ae9673f40            1           48
          _IO_file_init       libc.so.6       7f6ae9673f10            1           13
        _IO_file_xsputn       libc.so.6       7f6ae9673d70           64         2892
          _IO_file_read       libc.so.6       7f6ae9673d50            1            4
