===============================================
MyPinTool analysis results: 
Number of instructions: 9540661
Number of basic blocks: 2478487
Number of threads: 8
===============================================
              Procedure           Image            Address        Calls Instructions
   __memmove_ssse3_back       libc.so.6       7fdb288f0260            4           60
         __strcmp_ssse3       libc.so.6       7fdb288e03d0            8          392
          _dl_vdso_vsym       libc.so.6       7fdb288d5ea0            3           81
    __libc_dl_error_tsd       libc.so.6       7fdb288d5e80            1            3
_dl_mcount_wrapper_check       libc.so.6       7fdb288d56a0          128          512
               _dl_addr       libc.so.6       7fdb288d5340            1        56045
    __libc_pthread_init       libc.so.6       7fdb288abce0            1          393
    __unregister_atfork       libc.so.6       7fdb288abb40            5           95
        __linkin_atfork       libc.so.6       7fdb288abad0            1            8
      __register_atfork       libc.so.6       7fdb288ab980            1           49
__libc_disable_asynccancel       libc.so.6       7fdb288ab900            3           36
__libc_enable_asynccancel       libc.so.6       7fdb288ab8a0            3           33
               wctype_l       libc.so.6       7fdb288a2d30            9          876
                  clone       libc.so.6       7fdb2889edd0            7          189
            __init_misc       libc.so.6       7fdb2889eca0            1           24
               mprotect       libc.so.6       7fdb2889ae30            7           35
                 munmap       libc.so.6       7fdb2889ae00            1            5
                   mmap       libc.so.6       7fdb2889add0            9           54
            getpagesize       libc.so.6       7fdb28897c40            8           40
                 __sbrk       libc.so.6       7fdb28897660            2           46
                    brk       libc.so.6       7fdb288975e0            2           26
              getrlimit       libc.so.6       7fdb28897180            1            5
       __close_nocancel       libc.so.6       7fdb28892509            1            5
       __write_nocancel       libc.so.6       7fdb28891f09            0           13
                __write       libc.so.6       7fdb28891f00            1           15
        __read_nocancel       libc.so.6       7fdb28891ea9            0           13
                 __read       libc.so.6       7fdb28891ea0            1           15
        __open_nocancel       libc.so.6       7fdb28891c99            0           13
                 __open       libc.so.6       7fdb28891c90            1           15
               __fxstat       libc.so.6       7fdb288917e0            2           20
      popcount_cpucount       libc.so.6       7fdb288915e0            1          391
                  _exit       libc.so.6       7fdb2886fe60            1           10
                  wctob       libc.so.6       7fdb28854080          128         2432
                  btowc       libc.so.6       7fdb28853ef0          256         8192
           handle_intel       libc.so.6       7fdb28851ea0            2           98
       intel_check_word       libc.so.6       7fdb28851be0            4          850
          __strstr_sse2       libc.so.6       7fdb28850bd0            1           25
              strchrnul       libc.so.6       7fdb28843960           41         1015
          __memcpy_sse2       libc.so.6       7fdb28842420          178         3224
         __mempcpy_sse2       libc.so.6       7fdb2883d3b0           66         1311
                 memset       libc.so.6       7fdb2883d260           15          600
            __GI_memcmp       libc.so.6       7fdb2883cc30           41          857
           __GI_strrchr       libc.so.6       7fdb2883c150            1          106
                 strlen       libc.so.6       7fdb2883a400           73         1316
     __default_morecore       libc.so.6       7fdb288370c0            2           16
       realloc_hook_ini       libc.so.6       7fdb28835860            1            8
        malloc_hook_ini       libc.so.6       7fdb28835820            1           11
   ptmalloc_init.part.8       libc.so.6       7fdb288353f0            1          622
          __libc_calloc       libc.so.6       7fdb28834e20            7          581
         __libc_realloc       libc.so.6       7fdb288349a0            2           48
                  cfree       libc.so.6       7fdb28834910          123         1557
                 malloc       libc.so.6       7fdb288344d0           92         4005
            _int_malloc       libc.so.6       7fdb288320b0           98        13785
              _int_free       libc.so.6       7fdb28831540           87         7512
     malloc_consolidate       libc.so.6       7fdb28830ee0            4         1916
      malloc_init_state       libc.so.6       7fdb2882fff0            1          648
     _IO_unsave_markers       libc.so.6       7fdb2882f450            1            5
            _IO_cleanup       libc.so.6       7fdb2882eee0            1          102
    _IO_flush_all_lockp       libc.so.6       7fdb2882ec60            1           88
     _IO_default_finish       libc.so.6       7fdb2882eb10            1           14
            _IO_no_init       libc.so.6       7fdb2882ea30            1           33
           _IO_old_init       libc.so.6       7fdb2882e980            1           25
     _IO_default_setbuf       libc.so.6       7fdb2882e860            1           29
              _IO_sgetn       libc.so.6       7fdb2882e7a0          174          522
     _IO_default_xsputn       libc.so.6       7fdb2882e6d0            1          105
         _IO_doallocbuf       libc.so.6       7fdb2882e640            2           26
               _IO_setb       libc.so.6       7fdb2882e5c0            4           91
            __underflow       libc.so.6       7fdb2882e430            1           22
 _IO_switch_to_get_mode       libc.so.6       7fdb2882e350            1           20
            _IO_link_in       libc.so.6       7fdb2882dee0            2          107
            _IO_un_link       libc.so.6       7fdb2882dc90            3          114
      _IO_file_overflow       libc.so.6       7fdb2882d9b0            1           48
     _IO_file_underflow       libc.so.6       7fdb2882d750            1           40
           _IO_do_write       libc.so.6       7fdb2882d720            2           19
         _IO_file_fopen       libc.so.6       7fdb2882d1f0            1           70
          _IO_file_open       libc.so.6       7fdb2882d140            1           32
        _IO_file_finish       libc.so.6       7fdb2882d0c0            1            8
      _IO_file_close_it       libc.so.6       7fdb2882cf40            1           48
          _IO_file_init       libc.so.6       7fdb2882cf10            1           13
        _IO_file_xsputn       libc.so.6       7fdb2882cd70           64         2892
          _IO_file_read       libc.so.6       7fdb2882cd50            1            4
        _IO_file_xsgetn       libc.so.6       7fdb2882ca20          174         5770
         _IO_file_write       libc.so.6       7fdb2882c890            1           36
          _IO_file_stat       libc.so.6       7fdb2882c880            2            8
           new_do_write       libc.so.6       7fdb2882bf50            1           40
        _IO_file_setbuf       libc.so.6       7fdb2882bec0            1           15
         _IO_file_close       libc.so.6       7fdb2882beb0            1            2
          _IO_file_sync       libc.so.6       7fdb2882bdf0            7          101
                  fread       libc.so.6       7fdb288228d0          174         9570
                  fopen       libc.so.6       7fdb28822520            1            2
       __fopen_internal       libc.so.6       7fdb28822470            1           39
     __fopen_maybe_mmap       libc.so.6       7fdb28822430            1            4
             _IO_fflush       libc.so.6       7fdb28821f20            6          252
                 fclose       libc.so.6       7fdb28821a50            1           75
    _IO_file_doallocate       libc.so.6       7fdb28821930            2           88
                 printf       libc.so.6       7fdb28808ec0           15          339
            __printf_fp       libc.so.6       7fdb28804010            3         2617
       hack_digit.13631       libc.so.6       7fdb28803e50           26         1111
               vfprintf       libc.so.6       7fdb287fe970           15         6776
             _itoa_word       libc.so.6       7fdb287fe790           23          902
   __mpn_extract_double       libc.so.6       7fdb287fe0e0            3           63
            __mpn_mul_1       libc.so.6       7fdb287fd440           28          584
              __mpn_mul       libc.so.6       7fdb287fd090            1           38
           __mpn_rshift       libc.so.6       7fdb287fcf30            5           85
           __mpn_lshift       libc.so.6       7fdb287fce20            3           45
           __mpn_divrem       libc.so.6       7fdb287fc9d0           19          864
              __mpn_cmp       libc.so.6       7fdb287fc930            3           33
__GI_____strtol_l_internal       libc.so.6       7fdb287f14d0            1          102
                strtoll       libc.so.6       7fdb287f1470            1            5
      __drand48_iterate       libc.so.6       7fdb287f13f0            8          165
              erand48_r       libc.so.6       7fdb287f11d0            8          264
                erand48       libc.so.6       7fdb287f10c0            8           56
       __call_tls_dtors       libc.so.6       7fdb287f05d0            1           12
         __cxa_finalize       libc.so.6       7fdb287f0350            5          381
           __cxa_atexit       libc.so.6       7fdb287f02c0           10          220
           __new_exitfn       libc.so.6       7fdb287f0100           10          440
                   exit       libc.so.6       7fdb287f0090            1            4
    __run_exit_handlers       libc.so.6       7fdb287eff80            1          210
                 getenv       libc.so.6       7fdb287ef620           12         6960
                _setjmp       libc.so.6       7fdb287ed310            8           16
          __sigjmp_save       libc.so.6       7fdb287ed2d0            8           72
            __sigsetjmp       libc.so.6       7fdb287ed270            8          144
                  isnan       libc.so.6       7fdb287ec890            3           21
                __isinf       libc.so.6       7fdb287ec850            3           39
           __ctype_init       libc.so.6       7fdb287e6910            8          136
            __uselocale       libc.so.6       7fdb287e5f50            2           44
            __newlocale       libc.so.6       7fdb287e5670            1           40
    __gconv_btwoc_ascii       libc.so.6       7fdb287dcf40          128          640
     __get_cpu_features       libc.so.6       7fdb287da0d0            1            5
      __libc_start_main       libc.so.6       7fdb287d9af0            1           60
                  _init       libc.so.6       7fdb287d9940            1          101
         init_cacheinfo       libc.so.6       7fdb287d96d0            1          144
                   .plt       libc.so.6       7fdb287d7480            0            4
                  _fini libpthread.so.0       7fdb28b778d4            1            3
           elision_init libpthread.so.0       7fdb28b772c0            1           14
     __get_cpu_features libpthread.so.0       7fdb28b772a0            1            6
    __init_cpu_features libpthread.so.0       7fdb28b77050            1           70
 pthread_getaffinity_np libpthread.so.0       7fdb28b75cc0            1           20
       __libc_sigaction libpthread.so.0       7fdb28b75a00            2          132
_pthread_cleanup_pop_restore libpthread.so.0       7fdb28b74480           17          136
_pthread_cleanup_push_defer libpthread.so.0       7fdb28b74420           17          238
           pthread_once libpthread.so.0       7fdb28b73420           32          176
    pthread_setspecific libpthread.so.0       7fdb28b72f70            2           68
     pthread_key_delete libpthread.so.0       7fdb28b72eb0            1           14
   __pthread_key_create libpthread.so.0       7fdb28b72e50            1           19
 __pthread_mutex_unlock libpthread.so.0       7fdb28b71610            2            4
__pthread_mutex_unlock_usercnt libpthread.so.0       7fdb28b71530            2           64
   __pthread_mutex_lock libpthread.so.0       7fdb28b70290            2           68
pthread_attr_setdetachstate libpthread.so.0       7fdb28b6fba0            1            5
      pthread_attr_init libpthread.so.0       7fdb28b6fad0            1           31
           pthread_self libpthread.so.0       7fdb28b6f790            1            2
         pthread_create libpthread.so.0       7fdb28b6e310            7         1526
           start_thread libpthread.so.0       7fdb28b6e010            7          266
   do_clone.constprop.3 libpthread.so.0       7fdb28b6d280            7          224
__pthread_initialize_minimal libpthread.so.0       7fdb28b6cb30            1          161
            frame_dummy libpthread.so.0       7fdb28b6c990            1            3
  __do_global_dtors_aux libpthread.so.0       7fdb28b6c950            1           12
     register_tm_clones libpthread.so.0       7fdb28b6c910            1           13
   deregister_tm_clones libpthread.so.0       7fdb28b6c8e0            1            9
                   .plt libpthread.so.0       7fdb28b6b540           13          108
                  _init libpthread.so.0       7fdb28b6b530            1            4
                  .fini   libgcc_s.so.1       7fdb28d96668            1            3
   __cpu_indicator_init   libgcc_s.so.1       7fdb28d87150            1           81
                  .text   libgcc_s.so.1       7fdb28d86fd0            0           93
                   .plt   libgcc_s.so.1       7fdb28d86d00            1            5
                  _init   libgcc_s.so.1       7fdb28d86cd8            1            6
                  .fini    libgomp.so.1       7fdb28fa6350            1            3
     omp_get_thread_num    libgomp.so.1       7fdb28fa3010           22           88
    omp_get_num_threads    libgomp.so.1       7fdb28fa2fe0           11           77
      GOMP_parallel_end    libgomp.so.1       7fdb28fa2f90           24           72
    GOMP_parallel_start    libgomp.so.1       7fdb28fa2f60           24          456
   GOMP_loop_end_nowait    libgomp.so.1       7fdb28fa1da0           12           12
 GOMP_loop_dynamic_next    libgomp.so.1       7fdb28fa1a10           12           12
GOMP_loop_dynamic_start    libgomp.so.1       7fdb28fa11c0           12          864
    omp_get_max_threads    libgomp.so.1       7fdb28fa0440            2           18
    omp_set_num_threads    libgomp.so.1       7fdb28fa0210            2           28
                  .text    libgomp.so.1       7fdb28f9f030            0          483
                   .plt    libgomp.so.1       7fdb28f9ed90           14          171
                  _init    libgomp.so.1       7fdb28f9ed68            1            6
                  _fini       libm.so.6       7fdb2921cc38            1            3
           __ceil_sse41       libm.so.6       7fdb291c4440            2            4
            frame_dummy       libm.so.6       7fdb291afc30            1            3
  __do_global_dtors_aux       libm.so.6       7fdb291afbf0            1           12
     register_tm_clones       libm.so.6       7fdb291afbb0            1           13
   deregister_tm_clones       libm.so.6       7fdb291afb80            1            9
                   .plt       libm.so.6       7fdb291af680            1            6
                  _init       libm.so.6       7fdb291af660            1            6
                  .fini  libstdc++.so.6       7fdb29595c1c            1            3
_ZNSt14error_categoryC2Ev  libstdc++.so.6       7fdb29588c80            3           12
_ZNSt14error_categoryD1Ev  libstdc++.so.6       7fdb29588af0            3           12
_ZNKSt8__detail20_Prime_rehash_policy11_M_next_bktEm  libstdc++.so.6       7fdb295882f0            2           50
 _ZSt15future_categoryv  libstdc++.so.6       7fdb295880f0            1           21
_ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7fdb29579e10            4           84
_ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale  libstdc++.so.6       7fdb29579dc0            4           84
_ZSt9has_facetISt5ctypeIwEEbRKSt6locale  libstdc++.so.6       7fdb29579c80            4           84
_ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7fdb29578b80            4           76
_ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale  libstdc++.so.6       7fdb29578b30            4           76
_ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale  libstdc++.so.6       7fdb29577f20            4           76
  _ZNSt8messagesIwEC1Em  libstdc++.so.6       7fdb29577a90            1           19
_ZNSt11__timepunctIwEC2EPSt17__timepunct_cacheIwEm  libstdc++.so.6       7fdb295772c0            1           22
_ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv  libstdc++.so.6       7fdb2956db70            3           42
          _ZNSo5flushEv  libstdc++.so.6       7fdb2956b930            3           42
_ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv  libstdc++.so.6       7fdb2956b020            3            6
_ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv  libstdc++.so.6       7fdb2956b010            3            6
_ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale  libstdc++.so.6       7fdb2955f310            4           84
